year,article-link,local-path
2019,https://doi.org/10.1093/nar/gky1267,articles/2019/0-NAR.html
2019,https://doi.org/10.1093/nar/gky993,articles/2019/1-NAR.html
2019,https://doi.org/10.1093/nar/gky1124,articles/2019/2-NAR.html
2019,https://doi.org/10.1093/nar/gky1069,articles/2019/3-NAR.html
2019,https://doi.org/10.1093/nar/gky843,articles/2019/4-NAR.html
2019,https://doi.org/10.1093/nar/gky822,articles/2019/5-NAR.html
2019,https://doi.org/10.1093/nar/gky969,articles/2019/6-NAR.html
2019,https://doi.org/10.1093/nar/gky813,articles/2019/7-NAR.html
2019,https://doi.org/10.1093/nar/gky986,articles/2019/8-NAR.html
2019,https://doi.org/10.1093/nar/gky1155,articles/2019/9-NAR.html
2019,https://doi.org/10.1093/nar/gky904,articles/2019/10-NAR.html
2019,https://doi.org/10.1093/nar/gky1002,articles/2019/11-NAR.html
2019,https://doi.org/10.1093/nar/gky1014,articles/2019/12-NAR.html
2019,https://doi.org/10.1093/nar/gky958,articles/2019/13-NAR.html
2019,https://doi.org/10.1093/nar/gky1078,articles/2019/14-NAR.html
2019,https://doi.org/10.1093/nar/gky985,articles/2019/15-NAR.html
2019,https://doi.org/10.1093/nar/gky989,articles/2019/16-NAR.html
2019,https://doi.org/10.1093/nar/gky1128,articles/2019/17-NAR.html
2019,https://doi.org/10.1093/nar/gky864,articles/2019/18-NAR.html
2019,https://doi.org/10.1093/nar/gky981,articles/2019/19-NAR.html
2019,https://doi.org/10.1093/nar/gky1144,articles/2019/20-NAR.html
2019,https://doi.org/10.1093/nar/gky960,articles/2019/21-NAR.html
2019,https://doi.org/10.1093/nar/gky1031,articles/2019/22-NAR.html
2019,https://doi.org/10.1093/nar/gky1051,articles/2019/23-NAR.html
2019,https://doi.org/10.1093/nar/gky1005,articles/2019/24-NAR.html
2019,https://doi.org/10.1093/nar/gky1141,articles/2019/25-NAR.html
2019,https://doi.org/10.1093/nar/gky980,articles/2019/26-NAR.html
2019,https://doi.org/10.1093/nar/gky1026,articles/2019/27-NAR.html
2019,https://doi.org/10.1093/nar/gky1043,articles/2019/28-NAR.html
2019,https://doi.org/10.1093/nar/gky956,articles/2019/29-NAR.html
2019,https://doi.org/10.1093/nar/gky1073,articles/2019/30-NAR.html
2019,https://doi.org/10.1093/nar/gky1050,articles/2019/31-NAR.html
2019,https://doi.org/10.1093/nar/gky830,articles/2019/32-NAR.html
2019,https://doi.org/10.1093/nar/gky1077,articles/2019/33-NAR.html
2019,https://doi.org/10.1093/nar/gky1034,articles/2019/34-NAR.html
2019,https://doi.org/10.1093/nar/gky978,articles/2019/35-NAR.html
2019,https://doi.org/10.1093/nar/gky1025,articles/2019/36-NAR.html
2019,https://doi.org/10.1093/nar/gky998,articles/2019/37-NAR.html
2019,https://doi.org/10.1093/nar/gky1023,articles/2019/38-NAR.html
2019,https://doi.org/10.1093/nar/gky1022,articles/2019/39-NAR.html
2019,https://doi.org/10.1093/nar/gky1028,articles/2019/40-NAR.html
2019,https://doi.org/10.1093/nar/gky1009,articles/2019/41-NAR.html
2019,https://doi.org/10.1093/nar/gky1097,articles/2019/42-NAR.html
2019,https://doi.org/10.1093/nar/gky1030,articles/2019/43-NAR.html
2019,https://doi.org/10.1093/nar/gky1074,articles/2019/44-NAR.html
2019,https://doi.org/10.1093/nar/gky1085,articles/2019/45-NAR.html
2019,https://doi.org/10.1093/nar/gky952,articles/2019/46-NAR.html
2019,https://doi.org/10.1093/nar/gky1112,articles/2019/47-NAR.html
2019,https://doi.org/10.1093/nar/gky1055,articles/2019/48-NAR.html
2019,https://doi.org/10.1093/nar/gky1006,articles/2019/49-NAR.html
2019,https://doi.org/10.1093/nar/gky1063,articles/2019/50-NAR.html
2019,https://doi.org/10.1093/nar/gky1100,articles/2019/51-NAR.html
2019,https://doi.org/10.1093/nar/gky916,articles/2019/52-NAR.html
2019,https://doi.org/10.1093/nar/gky1140,articles/2019/53-NAR.html
2019,https://doi.org/10.1093/nar/gky1035,articles/2019/54-NAR.html
2019,https://doi.org/10.1093/nar/gky1054,articles/2019/55-NAR.html
2019,https://doi.org/10.1093/nar/gky1047,articles/2019/56-NAR.html
2019,https://doi.org/10.1093/nar/gky1039,articles/2019/57-NAR.html
2019,https://doi.org/10.1093/nar/gky936,articles/2019/58-NAR.html
2019,https://doi.org/10.1093/nar/gky1068,articles/2019/59-NAR.html
2019,https://doi.org/10.1093/nar/gky1038,articles/2019/60-NAR.html
2019,https://doi.org/10.1093/nar/gky995,articles/2019/61-NAR.html
2019,https://doi.org/10.1093/nar/gky1159,articles/2019/62-NAR.html
2019,https://doi.org/10.1093/nar/gky1106,articles/2019/63-NAR.html
2019,https://doi.org/10.1093/nar/gky1052,articles/2019/64-NAR.html
2019,https://doi.org/10.1093/nar/gky948,articles/2019/65-NAR.html
2019,https://doi.org/10.1093/nar/gky1004,articles/2019/66-NAR.html
2019,https://doi.org/10.1093/nar/gky1134,articles/2019/67-NAR.html
2019,https://doi.org/10.1093/nar/gky1114,articles/2019/68-NAR.html
2019,https://doi.org/10.1093/nar/gky1130,articles/2019/69-NAR.html
2019,https://doi.org/10.1093/nar/gky1044,articles/2019/70-NAR.html
2019,https://doi.org/10.1093/nar/gky1049,articles/2019/71-NAR.html
2019,https://doi.org/10.1093/nar/gky1029,articles/2019/72-NAR.html
2019,https://doi.org/10.1093/nar/gky949,articles/2019/73-NAR.html
2019,https://doi.org/10.1093/nar/gky1079,articles/2019/74-NAR.html
2019,https://doi.org/10.1093/nar/gky1048,articles/2019/75-NAR.html
2019,https://doi.org/10.1093/nar/gky1001,articles/2019/76-NAR.html
2019,https://doi.org/10.1093/nar/gky973,articles/2019/77-NAR.html
2019,https://doi.org/10.1093/nar/gky1013,articles/2019/78-NAR.html
2019,https://doi.org/10.1093/nar/gky1126,articles/2019/79-NAR.html
2019,https://doi.org/10.1093/nar/gky1037,articles/2019/80-NAR.html
2019,https://doi.org/10.1093/nar/gky962,articles/2019/81-NAR.html
2019,https://doi.org/10.1093/nar/gky876,articles/2019/82-NAR.html
2019,https://doi.org/10.1093/nar/gky967,articles/2019/83-NAR.html
2019,https://doi.org/10.1093/nar/gky1131,articles/2019/84-NAR.html
